id,zeile,badgegeber_id,name,deklarierte_funktion,infocube_url,infocube_id,mandat_aktiv,bemerkungen,quelle,rote_flagge
220,220,220,"Kummer Matthias","Vereinigung Schweiz. Privatbanquiers",http://infocube.ch/de/p/731886/kummer-matthias,731886.0,"","Fürsprecher und Lobbyist, Kummer Public Affairs, http://books.google.ch/books?id=pJvt2MY_e08C&pg=PA225&lpg=PA225&dq=Vereinigung+Schweizerischer+privatbanquiers+Matthias+Kummer&source=bl&ots=_ZiodvakLA&sig=b9WzTM83iW_fdVrRUqfBW5mUWjw&hl=de&sa=X&ei=MDlMUdvPGKGO7AaEwYGgAg&ved=0CDAQ6AEwAA#v=onepage&q=Vereinigung%20Schweizerischer%20privatbanquiers%20Matthias%20Kummer&f=false","",""
221,221,221,"Merkli Christoph","Pro Velo Schweiz",http://infocube.ch/de/p/6879792/merkli-christoph,6879792.0,"","Geschäftsführer Pro Velo Schweiz, http://www.pro-velo.ch/pro-velo/geschaeftsstelle/team/
Verein Velojournal","",""
222,222,222,"Perron Louis","Perron Campaigns","","","",www.perroncampaigns.ch/,"",""
223,223,223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,224,224,"Schwarz Johannes","Persönlicher Mitarbeiter","Zu ungenau","","","","",""
225,225,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,226,226,"Graf Manuel","WWF Schweiz","","","","","",""
227,227,227,"Chiavaroli Danielle ","Persönliche Mitarbeiterin","Zu ungenau","","","","",""
228,228,228,"Lampart Daniel","SGB-Sekretariatsleiter und Chefökonom","","","","","",""
229,229,229,"Hayoz Barbara",Gast,http://infocube.ch/de/p/880283/hayoz-barbara,880283.0,"","Ex-Gemeinderätin der Stadt Bern http://www.bernerzeitung.ch/region/bern/Barbara-Hayoz-bleibt-im-StabeVerwaltungsrat/story/18563957","",""
230,230,230,"Henseler Pfyl Nathalie","Büro für Sprache und Politik","","","","","",""
231,231,231,"Frund Vinciane ","Médecins de famille Suisse","","","","","",""
232,232,232,"Eperon Patrick ","Centre Patronal","","","","","",""
233,233,233,"Weber Busch Catherine ","Schweizerischer Verband des Personals öffentlicher Dienste (vpod)","","","","","",""
234,234,234,"Vitali-Odermatt Klara",Gast,https://infocube.ch/de/p/5596910/vitali-klara,5596910.0,"","","",""
235,235,235,"Stückelberger Ueli","Verband öffentlicher Verkehr (VöV)",https://infocube.ch/de/p/6719597/stueckelberger-emanuel-ulrich,6719597.0,"","","",""
236,236,236,"Badertscher Christine","Persönliche Mitarbeiterin","Zu ungenau","","","","",""
237,237,237,"Minder Heinrich",Gast,"","","","","",""
238,238,238,"Zimmermann Michel","Persönlicher Mitarbeiter","Zu ungenau","","","","",""
239,239,239,"Walter Madeleine",Gast,https://infocube.ch/de/p/p22011150457/walter-heim-madeleine,p22011150457,"","","",""
240,240,240,"Peyer Hans","Allianz der Wirtschaft für eine massvolle Präventionspolitik (AWMP)",https://infocube.ch/de/p/p26001815016/peyer-stefenon-hans,p26001815016,"","","",""
241,241,241,"Wasserfallen Margret",Gast,https://infocube.ch/de/p/p25005302916/wasserfallen-weilenmann-margret,p25005302916,"","","",""
242,242,242,"Beglinger Nick",swisscleantech,https://infocube.ch/de/p/56476/beglinger-nicholas-david-walter,56476.0,"",http://www.handelszeitung.ch/unternehmen/nick-beglinger-suspekter-saubermann,"",""
243,243,243,"Petrusic Ivica ","Dachverband der offenen Jugendarbeit Schweiz (DOJ)",https://infocube.ch/de/p/6595626/petrusic-ivica#activePoliticalActivities,6595626.0,"","","",""
244,244,244,"Burgener Andreas ",auto-schweiz,https://infocube.ch/de/p/4723834/burgener-andreas,4723834.0,"","","",""
245,245,245,"Meier Bernhard ","SBB AG",https://infocube.ch/de/p/5728900/meier-bernhard#activeMandates,5728900.0,"","","",""
246,246,246,"Ziörjen Maja ",Gast,https://infocube.ch/de/p/543205/zioerjen-maja,543205.0,"","","",""
247,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,2,2,"Werner Salzmann","SVP Kanton Bern",http://infocube.ch/de/p/418186/salzmann-werner,418186.0,"","Mitglied im Zentralvorstand der SVP Schweiz",http://www.werner-salzmann.ch/index.php?ConObj=451,""
249,3,3,"Markus Meyer","Präsident Schweizerisches Kompetenzzentrum Fischerei (KSF)","","","","Präsident Bernisch Kantonaler Fischerei-Verband, Rechtsanwalt bei Bracher & Partner, Spezialist für Wirtschafts-, Verwaltungs- und Baurecht, über öffentliche Suchmaske zu wenig eindeutig. Privatadresse: Eisenbahnstrasse 11, 4901 Langenthal",http://www.bracherpartner.ch/bracher-partner/alle-personen-daten/dr-markus-meyer/http://www.bkfv-fcbp.ch/home/adressen/buero.html,""
250,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,7,7,"Dore Heim","Schweizerischer Gewerkschaftsbund","Kein Eintrag","","","Geschftäftsführende Sekretärin des Schweizerischen Gewerkschaftsbundes (SGB)",http://www.sgb.ch/der-sgb/zentralsekretariat/,""
254,8,8,0.0,0.0,0.0,0.0,"",0.0,0.0,0.0
255,9,9,"René Rall","Schweizerischer Anwaltsverband",http://infocube.ch/de/p/853602/rall-rene,853602.0,"","Generalsektretär Sschweizerischer Anwaltsverband",http://fachanwalt.sav-fsa.ch/Medienkontakt.264.0.html,""
256,10,10,"Roger Schnegg","Swiss Olympic",http://infocube.ch/de/p/6328894/schnegg-roger,6328894.0,"","","",""
257,11,11,"Susanne Blank",Travail.Suisse,"","","","Cheredaktorin ""Die Volkswirtschaft"", Staatssekretariat für Wirtschaft Seco",http://www.dievolkswirtschaft.ch/de/editions/201306/pdf/Scheidegger_51_51.pdf,""
258,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,13,13,"Ulrich Keller","Schweizerischer Verband für Wohnungswesen",http://infocube.ch/de/p/268223/keller-ulrich,268223.0,"","","",""
260,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,15,15,"Edith Baumann",Gast,http://infocube.ch/de/p/51997/baumann-edith,51997.0,"","Ehefrau von Isidor Baumann",http://www.urnerwochenblatt.ch/aktuelle_ausgabe/nachrichten_details.asp?id=6360,""
262,16,16,"Nathalie Gysi","Green Cross Schweiz",http://infocube.ch/de/p/1058766/gysi-nathalie#activeMandates,1058766.0,"","","",""
263,17,17,"Florence Meyer","Ville de La Chaux-de-Fonds","Zu ungenau","","","Verantwortliche für Aussenangelegenheiten bei der Stadt La Chaux-de-Fonds",http://www.chaux-de-fonds.ch/medias/communiques-de-presse/2012/1594-12-01-25-creation-d-un-service-des-affaires-regionales-et-des-relations-exterieures,""
264,18,18,"Daniel Roth",Gast,"zu ungenau","","",Ehemann,"",""
265,19,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,20,20,"Aeppli Alfred",Gast,"Zu ungenau","","","Der ""Bundeshaus-Seelsorger""; arbeitet bei den Besinnungen im Bundeshaus mit. Präsident des Landeskirchen-Forums.",http://www.srf.ch/sendungen/menschen-und-horizonte/alfred-aeppli-vom-bauern-zum-bundeshauspfarrer,""
267,21,21,"Urs Amstutz","Waldwirtschaft Schweiz (WVS)",http://infocube.ch/de/p/35427/amstutz-urs,35427.0,"","","",""
268,22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,25,25,"Von Rohr Chris",Gast,"","","","","",""
272,26,26,"Gaston Wolf","Konferenz Hochschuldozierende Schweiz","Kein Eintrag","","","","",""
273,27,27,"Hüssy Hans-Rudolf","Persönlicher Mitarbeiter","Kein Resultat","","","Ex-Präsident der Offiziere der Luftwaffe (Avia)","",""
274,28,28,"Roswitha Brunner","Aktion Medienfreiheit","Zu ungenau","","","","",""
275,29,29,"Fritz Glauser","Schweizer Bauernverband",http://infocube.ch/de/p/1035028/glauser-fritz,1035028.0,"","","",""
276,30,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,31,31,0.0,"",0.0,0.0,0.0,0.0,0.0,0.0
278,32,32,"Thomas Bähler","VSMR, Verband Stahl-, Metall- und Papier-Recycling Schweiz","","","","Geschäftsführer von Wirtschaftsverbänden im Mandatsverhältnis (Stahl-, Metall und Papier-Recycling; Entsorgung von elektronischen und elektrischen Altgeräten; Blumenimport und -grosshandel, Tabakwarenhandel, Kartenverlage)","",""
279,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,34,34,"Thomas Ruckstuhl","Persönlicher Mitarbeiter","Zu ungenau","","","","",""
281,35,35,"Jean-Claude Chabloz",Gast,"","","","","",""
282,36,36,"Xavier Pilloud","Persönlicher Mitarbeiter","Zu ungenau","","","","",""
283,37,37,"Alfred Squaratti","Union Suisse des Sociétés d'Ingénieurs Conseils (usic)",http://infocube.ch/de/p/727481/squaratti-alfred#activeMandates,727481.0,"","","",""
284,38,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,39,39,"Jean-Félix Savary","Groupement Romand d'Etudes des Addictions (GREA)","","","","","",""
286,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,41,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,42,42,"Laurent Seydoux","Parti vert libéral",https://infocube.ch/de/p/451881/seydoux-laurent#activeMandates,451881.0,"","","",""
289,43,43,"Jean-Marc Widmer","Fédération Suisse Fonctionnaires de Police",https://infocube.ch/de/p/4377053/widmer-jean-marc#inactiveMandates,4377053.0,"","","",""
290,44,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,45,45,"Buschbeck Mathias","Persönlicher Mitarbeiter","","","","","",""
292,46,46,"Timotheos Frey","Burson-Marsteller AG","","","","","",""
293,47,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,48,48,"Markus Meier","HEV Kanton Baselland",https://infocube.ch/de/p/651505/meier-markus,651505.0,"","","",""
295,49,49,"Arnaud Schaller","Alliance des Assureurs Maladie Suisses (AAMS)",https://infocube.ch/de/p/7092939/schaller-arnaud,7092939.0,"","","",""
296,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,51,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,52,52,"Jürg Schlup","Verbindung der Schweizer Ärztinnen und Ärzte FMH","","","","","",""
299,53,53,"Konrad Hanspeter","Schweizerischer Pensionskassenverband (ASIP)","","","","","",""
300,54,54,"Ansgar Gmür","Hauseigentümerverband (HEV) Schweiz",https://infocube.ch/de/p/1192206/gmuer-ansgar,1192206.0,"","","",""
301,55,55,"Daniel Heller","Farner Consulting AG",https://infocube.ch/de/p/224973/heller-daniel,224973.0,"","","",""
302,56,56,"Thomas Egger","Schweizerische Arbeitsgemeinschaft für das Berggebiet (SAB)","","","","","",""
303,57,57,"Richard Estermann",Gast,https://infocube.ch/de/p/152168/estermann-richard-f,152168.0,"","","",""
304,58,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,59,59,"Guido Fürer","Bureau de prévention des accidents (bpa)",https://infocube.ch/de/p/6465912/fuerer-guido,6465912.0,"","","",""
306,60,60,"Bruno Stegmann",Gast,"Zu ungenau","","","","",""
307,61,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,62,62,"Andrea Arezina","Persönliche Mitarbeiterin","Zu ungenau","","","","",""
309,63,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,64,64,"Conradin Nils Münger","Verein Kinderlobby","","","","","",""
311,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,66,66,0.0,0.0,0.0,"",0.0,0.0,0.0,0.0
313,67,67,"Michèle Graber","Persönliche Mitarbeiterin",https://infocube.ch/de/p/6749204/graber-michele/politische-aktivitaeten,6749204.0,"","","",""
314,68,68,"Peter Schuhmacher","GEO Consulting Group AG",http://infocube.ch/de/p/858208/schuhmacher-peter,858208.0,"","","",""
315,69,69,"Henrique Schneider","Schweizerischer Gewerbeverband (sgv)",http://infocube.ch/de/p/6527757/schneider-henrique,6527757.0,"","","",""
316,70,70,"Michael Schmid","Verband der Schweizerischen Gasindustrie (VSG)","","","","","",""
317,71,71,"Marco Föhn",Gast,http://infocube.ch/de/p/5530653/foehn-marco,5530653.0,"","","",""
318,72,72,"Xavier Bertelletto","Canton du Valais",https://infocube.ch/de/p/p27003254264/bertelletto-duc-xavier,p27003254264,"","","",""
319,73,73,"Kristensen Philip Holmgaard","Centre Patronal (Mandat Aerosuisse und Parl. Gruppe Luft- und Raumfahrt)","","","","","",""
320,74,74,"Jean-Christophe Britt","Novartis International AG (Public Affairs)","","","","Mediensprecher Novartis International AG","",""
321,75,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,76,76,"Jérome Desmeules","Union Démocratique du Centre du Valais romand","","","","","",""
323,77,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324,78,78,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0
325,79,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326,80,80,"Roger de Weck","SRG SSR",http://infocube.ch/de/p/4243104/de-weck-roger-francois-philippe,4243104.0,"","","",""
327,81,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328,82,82,"Beat Spahni","ThinkArt Consulting","","","","","",""
329,83,83,"Martin Schläpfer",Migros-Genossenschafs-Bund,http://infocube.ch/de/p/4860527/schlaepfer-martin,4860527.0,"","","",""
330,84,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,85,85,"Michael Gehrken","ASTAG (Schweizerischer Nutzfahrzeugverband)",http://infocube.ch/de/p/869641/gehrken-michael,869641.0,"","","",""
332,86,86,"Rudolf Alther","Gesellschaft Schweiz-Albanien",http://infocube.ch/de/p/33090/alther-rudolf,33090.0,"","","",""
333,87,87,"Barmettler Franziska","Wirtschaftsverband swisscleantech","","","","","",""
334,88,88,"Guido Graf","Kanton Luzern","","","","http://www.lu.ch/gesundheit_soziales = http://infocube.ch/de/p/198658/graf-guido ???","",""
335,89,89,"Moreno Casasola","Solidarité sans frontières","","","","","",""
336,90,90,"Hannes Jaisli","Gastro Suisse","","","","","",""
337,91,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,92,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,93,93,"Christina Goethe",Swissaid,"","","","","",""
340,94,94,"Harry Graf",Gast,"","","","","",""
341,95,95,"Giovanni Giunta","Futuro PMI / Relève PME / kmuNEXT",http://infocube.ch/de/p/6238466/giunta-giovanni,6238466.0,"","","",""
342,96,96,"Adrian Schmid","Schweizerischer Heimatschutz","","","","","",""
343,97,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344,98,98,"Christian Köpe","Galencia AG",http://infocube.ch/de/p/926284/koepe-christian-karoly,926284.0,"","","",""
345,99,99,"Michel Darbellay","Chambre jurassienne d'agriculture","","","","","",""
346,100,100,"Thomas Zwald","Verband Schweizer Elektrizitätsunternehmen (VSE)","","","","","",""
347,101,101,"Urs Brogli","FDP Gesundheitskommission",https://infocube.ch/de/p/888313/brogli-urs/mandates,888313.0,"","Leiter Kommunikation & Public Affairs von The Swiss Leading Hospitals: http://www.slh.ch/de/aktuelles/meldungen/neuer-leiter-kommunikation.php, Leiter der Unternehmenskommunikation bei
 der Privatklinikgruppe Hirslanden, Präsident der 
gesundheitspolitischen Kommission des Dachverbandes der Privatkliniken 
Schweiz (PKS):http://www.bilanz.ch/unternehmen/urs-brogli-ueber-reformen-im-gesundheitswesen-auf-der-intensivstation","",""
348,102,102,"Yvonne Ribi","Schweizerischer Berufsverband der Pflegefachfrauen und Pflegefachmänner (SBK-ASI)","","","","","",""
349,103,103,"Armin Menzi","Persönlicher Mitarbeiter",http://infocube.ch/de/p/864193/menzi-armin,864193.0,"","","",""
350,104,104,"Annette Walder",Gast,"","","","","",""
351,105,105,"Peter Stähli","Kleine und mittlere Unternehmen (KMU)",http://infocube.ch/de/search?q=Peter+St%C3%A4hli&defaultSearchEntryStatus=1&senden=Suchen,"","","","",""
352,106,106,"Peter Schmid","Wohnbaugenossenschaft Schweiz","","","","","",""
353,107,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
354,108,108,"Liliane Brunisholz","Union suisse des paysans","","","","","",""
355,109,109,"Jean-Claude Hennet","Conférence des directeurs des transports de suisse occidentale (CTSO)","","","","","",""
356,110,110,"Ernst Stocker",Gast,"","","","","",""
357,111,111,"Elsbeth Wandeler","Persönliche Mitarbeiterin","","","","","",""
358,112,112,"Mike Bacher","Persönlicher Mitarbeiter","","","","","",""
359,113,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,114,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361,115,115,"Pierre Maudet","Commission fédérale pour l'enfance et la jeunesse",https://infocube.ch/de/p/4757083/maudet-pierre-henri#activeMandates,4757083.0,"","","",""
362,116,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363,117,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364,118,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
365,119,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
366,120,120,"Valentin Vogt","Schweizerischer Arbeitgeberverband",http://infocube.ch/de/p/505270/vogt-valentin,505270.0,"","","",""
367,121,121,"Oliver Schnyder","Verband Walliser Gemeinden","","","","","",""
368,122,122,"Martine Schneider",Gast,"","","","","",""
369,123,123,"Martin Dätwyler","Handelskammer beider Basel","","","","","",""
370,124,124,"Daniel Wiener","Persönlicher Mitarbeiter",http://infocube.ch/de/p/853105/wiener-freuler-daniel,853105.0,"","","",""
371,125,125,"","","","","","","",""
372,126,126,"Marcel Durst","Geschäftsführer Association Spitex Privée Suisse (ASPS)",https://infocube.ch/de/p/1065079/durst-marcel,1065079.0,"","","",""
373,127,127,"André Frutschi","Persönlicher Mitarbeiter","","","","","",""
374,128,128,"Peter Kyburz","KV Schweiz",https://infocube.ch/de/p/713874/kyburz-peter#activeMandates,713874.0,"","","",""
375,129,129,"Beat Zbinden","Persönlicher Mitarbeiter","","","","","",""
376,130,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
377,131,131,"Morten Keller","","Kein Eintrag","","","","",""
378,132,132,"Barbara Züst","Persönliche Mitarbeiterin","","","","","",""
379,133,133,"Rosmarie Glauser","Verband Schweizer Assistenz- und Oberärztinnen- und Ärzte (VSAO)","","","","","",""
380,134,134,"Urs Glutz",Swisspower,https://infocube.ch/de/p/681493/glutz-urs,681493.0,"","","",""
381,135,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,136,136,0.0,0.0,0.0,0.0,"",0.0,0.0,0.0
383,137,137,"Urs Näf",economiesuisse,"","","","","",""
384,138,138,"Simone Fedele Wyss","Helvetia und Präsidentin Basler Ökonomen","","","","","",""
385,139,139,"Maxwell Sigurd",Alprail,http://infocube.ch/de/p/1022882/maxwell-sigurd,1022882.0,"","","",""
386,140,140,"Claudia Bolla-Vincenz",Swisscable,http://infocube.ch/de/p/791471/bolla-vincenz-claudia,791471.0,"","","",""
387,141,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
388,142,142,"Alain Carrupt",Syndicom,http://infocube.ch/de/p/1144647/carrupt-alain,1144647.0,"","","",""
389,143,143,"Gabi Badertscher","Burson-Marsteller AG",http://infocube.ch/de/p/4957570/badertscher-renz-gabriele,4957570.0,"","","",""
390,144,144,"Rudolf Wyder","Auslandschweizer Organisation",http://infocube.ch/de/p/534408/wyder-rudolf-thomas,534408.0,"","","",""
391,145,145,"Varuna Singh Auroi","Canton de Genève","","","","","",""
392,146,146,"Martin Muerner","Radio Berner Oberland AG",http://infocube.ch/de/p/5546035/muerner-martin,5546035.0,"","","",""
393,147,147,"Daniel Borner","Verband Schweiz. Schreinermeister und Möbelfabrikanten (VSSM)","","","","","",""
394,148,148,"Christian Zeyer",Swisscleantech,http://infocube.ch/de/p/5579517/zeyer-christian,5579517.0,"","","",""
395,149,149,"Ernest Geiser",Gast,"","","","","",""
396,150,150,"Lukas Schürch","Neue Europäische Bewegung Schweiz (Nebs)","","","","","",""
397,151,151,"Mohamed Hamdaoui",Syndicom,http://infocube.ch/de/p/6657780/hamdaoui-mohamed,6657780.0,"","","",""
398,152,152,"Andreas Schefer","SRG Deutschschweiz",https://infocube.ch/de/p/6348926/schefer-andreas#activeMandates,6348926.0,"","","",""
399,153,153,"Marie Pasquier Maridat","Persönliche Mitarbeiterin","","","","","",""
400,154,154,"François Tissot-Daguette","La Poste","","","","","",""
401,155,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,156,156,"Johan Rochel","Persönlicher Mitarbeiter","","","","","",""
403,157,157,"Patrick Kneubühl","Treuhand Suisse","","","","","",""
404,158,158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405,159,159,"Ersin Dincer",Kinderlobby,"","","","","",""
406,160,160,"Oscar J. Schwenk","Pilatus Aircraft",http://infocube.ch/de/p/702264/schwenk-oskar-j,702264.0,"","","",""
407,161,161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,162,162,"Monika Sommer","Hauseigentümerverband Schweiz (HEV Schweiz)",http://infocube.ch/de/p/4692736/sommer-monika,4692736.0,"","","",""
409,163,163,"Reinhard Frei","Persönlicher Mitarbeiter","","","","","",""
410,164,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,165,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
412,166,166,"Marc Herkenrath","Alliance Sud",https://infocube.ch/de/p/p29002609056/herkenrath-marc,p29002609056,"","","",""
413,167,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414,168,168,"Studer Marc","Le Lobby des Citoyens",http://infocube.ch/de/p/4127563/studer-marc,4127563.0,"","","",""
415,169,169,"Fedy Müller","MUELLER Consulting & Partner","","","","","",""
416,170,170,"Leumann Luc","Verkehrs-Club der Schweiz (VCS)","","","","","",""
417,171,171,"Andreas Hugi","Furrer.Hugi & Partner AG",https://infocube.ch/de/p/4513204/hugi-andreas,4513204.0,"","","",""
418,172,172,"Stefan Batzli","Agentur für Erneuerbare Energien und Energieeffizienz",https://infocube.ch/de/p/4010952/batzli-stefan,4010952.0,"","","",""
419,173,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420,174,174,"Wyss Manuel",Unia,"","","","","",""
421,175,175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,176,176,"Rohr Daniel C.","Rohr Communications","","","","","",""
423,177,177,"Willener Walter","Association suisse pour un secteur agroalimentaire fort (ASSAF-Suisse)",http://infocube.ch/de/p/527355/willener-walter,527355.0,"","","",""
424,178,178,"Enggasser Josiane","Schweizer Obstverband",http://infocube.ch/de/p/4178254/enggasser-josiane,4178254.0,"","","",""
425,179,179,"Derrer-Balladore Ruth","Schweizerischer Arbeitgeberverband","","","","","",""
426,180,180,"Gfeller Kurt","Schweizerischer Gewerbeverband (sgv)",http://infocube.ch/de/p/880278/gfeller-kurt,880278.0,"","","",""
427,181,181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428,182,182,"Stauffer Eric","Mouvement Citoyens Romand - Mouvement Citoyens Geenvois (MCR-MCG)","","","","","",""
429,183,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430,184,184,"Burkhardt Michael",SUNRISE,"","","","","",""
431,185,185,"Ambrosetti Renzo","Gewerkschaft Unia",http://infocube.ch/de/p/33776/ambrosetti-renzo-carlo,33776.0,"","","",""
432,186,186,"Comina Claude",Gast,"","","","","",""
433,187,187,"Trisconi Michela","Persönliche Mitarbeiterin","","","","","",""
434,188,188,"Horisberger Marc","VPUG - Verband der Poker-, Geschicklichkeits- und Unterhaltungsspiele-Anbieter","","","","","",""
435,189,189,"Hürzeler Urs","Persönlicher Mitarbeiter","","","","","",""
436,190,190,"Grob Annina","Union des Etudiants de Suisse (UNES)","","","","","",""
437,191,191,"Cornu Pierre","Persönlicher Mitarbeiter","","","","","",""
438,192,192,0.0,0.0,0.0,"",0.0,0.0,0.0,0.0
439,193,193,"Christoph Kull","Beratendes Organ für Fragen der Klimaänderung des Bundes (OcCC)","","","","","",""
440,194,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441,195,195,"Josef Dissler","Schweizerischer Bauernverband",https://infocube.ch/de/p/944515/dissler-josef,944515.0,"","","",""
442,196,196,"Rossi Michele","Associazioni economiche ticinesi",http://infocube.ch/de/p/5413724/rossi-michele,5413724.0,"","","",""
443,197,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
444,198,198,"Gfeller Peter","Schweizer Milchproduzenten",https://infocube.ch/de/p/188532/gfeller-peter,188532.0,"","","",""
445,199,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
446,200,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447,201,201,"Bianchi Doris","Schweizerischer Gewerkschaftsbund","","","","","",""
448,202,202,"Fleury Mathieu","Fédération romande des consommateurs (FRC)","","","","","",""
449,203,203,"Beglinger Caroline","Verkehrs-Club der Schweiz (VCS)",https://infocube.ch/de/p/865001/beglinger-fedorova-caroline,865001.0,"","","",""
450,204,204,"Bienlein Martin","H+ die Spitäler der Schweiz",http://infocube.ch/de/p/5164353/bienlein-martin,5164353.0,"","Leiter Geschäftsbereich Politik H+ (http://www.hplus.ch/de/servicenav/h_verband/geschaeftsstelle/)","",""
451,205,205,"Müller Roland A.","Schweizerischer Arbeitgeberverband","","","","","",""
452,206,206,"Imbach Konrad","Verband Hafner- und Plattengeschäfte","","","","","",""
453,207,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
454,208,208,"Mark Saxer","Furrer.Hugi & Partner AG",https://infocube.ch/de/p/6243190/saxer-mark-arnold,6243190.0,"","","",""
455,209,209,0.0,"",0.0,0.0,0.0,0.0,0.0,0.0
456,210,210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,211,211,"Saladin Franz","Handelskammer beider Basel",https://infocube.ch/de/p/5190083/saladin-franz,5190083.0,"","","",""
458,212,212,"Corpataux José","Schweizerischer Gewerkschaftsbund","","","","","",""
459,213,213,"Castella Christian","Fédération des Entreprises Romandes","","","","","",""
460,214,214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
461,215,215,"Liner Marcel","Pro Natura","","","","","",""
462,216,216,"Oberbeck Simon","JDC Suisse",https://infocube.ch/de/p/6525747/oberbeck-simon,6525747.0,"","","",""
463,217,217,"Niggli Peter","Alliance Sud",infocube.ch/de/p/970677/niggli-peter,970677.0,"","Geschäftsleiter seit 1998: http://www.northsouth.ethz.ch/news/past_events/forum3/Peter_Niggli_CV.pdf","",""
464,218,218,"Rey Alfred","Schweizer Paraplegiker-Vereinigung",http://infocube.ch/de/p/4663719/rey-alfred,4663719.0,"","Leiter Public Affairs;
Gleichzeitig Bundeshauskorrespondent des Walliser Boten: http://www.fmef.ch/docs/1ollo_wb.pdf","",""
465,219,219,"Grichting Thomas J.","Krankenversicherer GROUPE MUTUEL",http://infocube.ch/de/p/6522394/grichting-thomas#activeMandates,6522394.0,"","CEO Groupe Mutuel, 
Allianz Schweizerischer Krankenversicherer,
Schweizerischer Versicherungsverband","",""
